timezone;offset;offsetDst;offsetInH;offsetDstInH
America/La_Paz;-14400;-14400;-4;-4
America/Lima;-18000;-18000;-5;-5
America/Los_Angeles;-28800;-25200;-8;-7
America/Louisville;-18000;-14400;-5;-4
America/Lower_Princes;-14400;-14400;-4;-4
America/Maceio;-10800;-10800;-3;-3
America/Managua;-21600;-21600;-6;-6
America/Manaus;-14400;-14400;-4;-4
America/Marigot;-14400;-14400;-4;-4
America/Martinique;-14400;-14400;-4;-4
America/Matamoros;-21600;-18000;-6;-5
America/Mazatlan;-25200;-21600;-7;-6
America/Mendoza;-10800;-10800;-3;-3
America/Menominee;-21600;-18000;-6;-5
America/Merida;-21600;-18000;-6;-5
America/Metlakatla;-28800;-28800;-8;-8
America/Mexico_City;-21600;-18000;-6;-5
America/Miquelon;-10800;-7200;-3;-2
America/Moncton;-14400;-10800;-4;-3
America/Monterrey;-21600;-18000;-6;-5
America/Montevideo;-10800;-7200;-3;-2
America/Montreal;-18000;-14400;-5;-4
America/Montserrat;-14400;-14400;-4;-4
America/Nassau;-18000;-14400;-5;-4
America/New_York;-18000;-14400;-5;-4
America/Nipigon;-18000;-14400;-5;-4
America/Nome;-32400;-28800;-9;-8
America/Noronha;-7200;-7200;-2;-2
America/North_Dakota/Beulah;-21600;-18000;-6;-5
America/North_Dakota/Center;-21600;-18000;-6;-5
America/North_Dakota/New_Salem;-21600;-18000;-6;-5
America/Ojinaga;-25200;-21600;-7;-6
America/Panama;-18000;-18000;-5;-5
America/Pangnirtung;-18000;-14400;-5;-4
America/Paramaribo;-10800;-10800;-3;-3
America/Phoenix;-25200;-25200;-7;-7
America/Port-au-Prince;-18000;-14400;-5;-4
America/Port_of_Spain;-14400;-14400;-4;-4
America/Porto_Acre;-18000;-18000;-5;-5
America/Porto_Velho;-14400;-14400;-4;-4
America/Puerto_Rico;-14400;-14400;-4;-4
America/Rainy_River;-21600;-18000;-6;-5
America/Rankin_Inlet;-21600;-18000;-6;-5
America/Recife;-10800;-10800;-3;-3
America/Regina;-21600;-21600;-6;-6
America/Resolute;-21600;-18000;-6;-5
America/Rio_Branco;-18000;-18000;-5;-5
America/Rosario;-10800;-10800;-3;-3
America/Santa_Isabel;-28800;-25200;-8;-7
America/Santarem;-10800;-10800;-3;-3
America/Santiago;-10800;-10800;-3;-3
America/Santo_Domingo;-14400;-14400;-4;-4
America/Sao_Paulo;-10800;-7200;-3;-2
America/Scoresbysund;-3600;0;-1;0
America/Shiprock;-25200;-21600;-7;-6
America/Sitka;-32400;-28800;-9;-8
America/St_Barthelemy;-14400;-14400;-4;-4
America/St_Johns;-12600;-9000;-3;-2
America/St_Kitts;-14400;-14400;-4;-4
America/St_Lucia;-14400;-14400;-4;-4
America/St_Thomas;-14400;-14400;-4;-4
America/St_Vincent;-14400;-14400;-4;-4
America/Swift_Current;-21600;-21600;-6;-6
America/Tegucigalpa;-21600;-21600;-6;-6
America/Thule;-14400;-10800;-4;-3
America/Thunder_Bay;-18000;-14400;-5;-4
America/Tijuana;-28800;-25200;-8;-7
America/Toronto;-18000;-14400;-5;-4
America/Tortola;-14400;-14400;-4;-4
America/Vancouver;-28800;-25200;-8;-7
America/Virgin;-14400;-14400;-4;-4
America/Whitehorse;-28800;-25200;-8;-7
America/Winnipeg;-21600;-18000;-6;-5
America/Yakutat;-32400;-28800;-9;-8
America/Yellowknife;-25200;-21600;-7;-6
Antarctica/Casey;28800;28800;8;8
Antarctica/Davis;25200;25200;7;7
Antarctica/DumontDUrville;36000;36000;10;10
Antarctica/Macquarie;39600;39600;11;11
